catid,ra_obj,dec_obj,ra_ifu,dec_ifu,r_petro,r_auto,z_tonry,z_spec,m_r,r_e,mu_within_1re,mu_1re,mu_2re,ellip,pa,mstar,g_i,a_g,surv_sami,bad_class
297004,214.282284,1.36276383,214.282284,1.36276383,18.103,17.156,0.05497,0.05408,-19.94,19.88,24.45,26.29,27.83,0.59,46.47,10.64,1.41,0.139,8,1
793221,185.6458355,-1.54876171,185.6458355,-1.54876171,19.884,19.175,0.02313,0.02158,nan,0.94,20.33,22.17,23.71,0.7492,79.94,8.24,0.91,0.102,8,0
387545,136.8749618,2.3388562,136.8749618,2.3388562,16.755,16.66,0.10082,0.09968,-21.79,28.5,24.2,26.04,27.58,0.5617,81.380005,11,1.4,0.134,4,1
568220,214.4090315,-0.4822103,214.4090315,-0.4822103,16.857,16.676,0.08354,0.08263,-21.35,2.56,20.09,21.94,23.47,0.3794,68.74999,10.68,1.27,0.175,3,0
486867,221.8677821,-1.6339264,221.8677821,-1.6339264,14.683,14.59,0.04354,0.04278,-21.86,22.79,23.55,25.39,26.93,0.5831,122.46,10.59,0.8,0.217,8,0
231528,184.2064715,1.90790595,184.2064715,1.90790595,15.998,15.914,0.07848,0.07722,-21.94,13.29,22.7,24.56,26.09,0.2746,91.37,10.96,1.32,0.09,8,0
91689,212.9775509,0.49781354,212.9775509,0.49781354,16.894,16.789,0.05526,0.05435,-20.23,1.89,19.8,21.66,23.19,0.1831,139.31999,10.21,1.17,0.161,8,0
287705,174.5864843,1.66617632,174.5864843,1.66617632,16.364,15.74,0.07714,0.07584,-22.11,9,21.68,23.54,25.07,0.4596,131.23999,11.41,1.71,0.081,8,1
417475,131.338342,2.23573601,131.338342,2.23573601,17.596,17.482,0.07863,0.07758,-20.37,1.71,20.23,22.1,23.63,0.2289,76.16,10.31,1.3,0.226,3,0
278348,130.5429925,0.76165189,130.5429925,0.76165189,18.732,18.633,0.0433,0.04229,-17.8,1.19,20.18,22.05,23.58,0.4353,68.46999,8.79,0.58,0.154,3,1
177186,176.0489768,-1.86567017,176.0489768,-1.86567017,16.231,16.131,0.04894,0.04767,-20.6,3.83,20.38,22.25,23.78,0.2312,35.630005,10.41,1.23,0.071,8,1
623143,137.2458679,0.63397379,137.2458679,0.63397379,16.256,16.181,0.05455,0.05345,-20.8,7.18,21.62,23.49,25.03,0.3606,82.91998,10.38,1.11,0.136,8,0
48428,217.0254715,-0.64441096,217.0254715,-0.64441096,17.136,16.988,0.0745,0.07364,-20.75,0.89,18.12,20,21.53,0.4495,146.92,10.35,1.11,0.168,3,0
69859,177.0832844,0.15592405,177.0832844,0.15592405,16.9,16.968,0.08626,0.08495,-21.1,38.26,24.21,26.09,27.62,0.6676,71.42999,10.5,1.14,0.108,3,1
8706,183.6893561,0.74353151,183.6893561,0.74353151,14.813,14.803,0.02243,0.02079,-20.15,41.19,23.45,25.34,26.87,0.5565,53.600006,10,0.88,0.112,8,0
764777,222.7423372,0.09132366,222.7423372,0.09132366,20.471,18.507,0.04284,0.04211,-17.95,13.95,26.51,28.4,29.93,0.4085,16.170006,9.19,0.97,0.169,8,3
601395,139.5685111,0.38503294,139.5685111,0.38503294,17.015,16.966,0.01801,0.01708,-17.47,23.24,24.56,26.46,27.99,0.2582,55.190002,8.91,0.86,0.147,8,0
272822,180.9982276,1.41084966,180.9982276,1.41084966,14.597,14.444,0.02378,0.0223,-20.66,7.2,21.36,23.26,24.8,0.2558,175.76001,10.22,0.92,0.087,8,0
69717,176.2390756,0.0561106,176.2390756,0.0561106,17.434,17.237,0.09409,0.09277,-21.07,16.37,24.05,25.96,27.49,0.3401,31.289993,10.52,1.21,0.08,3,0
